,id,type,x,y,name,artist_name,interaction
311,31050,item,20.01015281677246,8.178801536560059,You Probably Couldn’t See For The Lights But You Were Staring Straight At Me,Arctic Monkeys,1.0
312,31169,item,32.89124298095703,-18.398494720458984,Technologic - Radio Edit,Daft Punk,6.0
313,31389,item,32.71838760375977,14.61473560333252,No One But You (Only The Good Die Young),Queen,3.0
314,31943,item,24.05217933654785,16.46657943725586,Gnik Nus,The Beatles,7.0
315,31944,item,24.045106887817386,16.46030616760254,Blackbird / Yesterday,The Beatles,41.0
316,32011,item,34.15893173217773,-17.247665405273438,Round One,Daft Punk,10.0
317,33038,item,24.074504852294922,16.481491088867188,Three Cool Cats,The Beatles,7.0
318,33043,item,23.952260971069336,16.34878921508789,Some Other Guy,The Beatles,2.0
319,33057,item,23.96299743652344,16.476985931396484,All Things Must Pass,The Beatles,5.0
320,33301,item,24.03327751159668,16.45703125,Cayenne,The Beatles,1.0
321,34223,item,22.576112747192386,0.5072099566459656,Ouverture,Daft Punk,9.0
322,35171,item,22.72621726989746,0.5699508786201477,Solar Sailer (Pretty Lights remix),Daft Punk,3.0
323,37613,item,23.50829124450684,17.78734588623047,When I'm Sixty Four,The Beatles,1.0
324,37965,item,22.73335266113281,0.5722964406013489,The Son of Flynn (Ki:Theory remix),Daft Punk,3.0
325,39237,item,22.70440673828125,0.5745664834976196,End of Line (Photek remix),Daft Punk,3.0
326,39392,item,29.642539978027344,-20.285964965820312,Get Lucky - Radio Edit,Daft Punk,7.0
327,39952,item,32.932430267333984,-18.384536743164066,Prime Time of Your Life / Brainwasher / Rollin' and Scratchin' / Alive,Daft Punk,18.0
328,40263,item,23.9475212097168,16.474319458007812,I'll Be on My Way,The Beatles,3.0
329,40792,item,22.59990310668945,0.5467430353164673,Face to Face (Cosmo Vitelli remix),Daft Punk,3.0
330,41598,item,22.74103736877441,0.5593616366386414,The Son of Flynn (Moby remix),Daft Punk,3.0
331,41671,item,24.069128036499023,16.471385955810547,The Sheik of Araby,The Beatles,1.0
332,41672,item,24.06433486938477,16.486404418945312,Hello Little Girl,The Beatles,2.0
333,43001,item,21.45981788635254,12.414491653442385,In the Lap of the Gods... Revisited,Queen,4.0
334,43696,item,23.97288703918457,16.718780517578125,Her Majesty,The Beatles,3.0
335,43741,item,22.32095718383789,-0.0326843298971653,Father and Son,Daft Punk,4.0
336,44057,item,22.39669609069824,0.010795285925269129,Sea of Simulation,Daft Punk,6.0
337,44420,item,22.72902488708496,0.586367130279541,Rinzler (Kaskade remix),Daft Punk,2.0
338,44533,item,23.96399307250977,15.919096946716307,Soldier of Love,The Beatles,4.0
339,45121,item,24.012582778930664,16.585662841796875,Junk,The Beatles,3.0
340,46363,item,22.471593856811523,0.08960406482219696,Sunrise Prelude,Daft Punk,3.0
0,48237,artist,-27.836536407470703,1.7851709127426147,The Beatles,,
1,48452,artist,0.7052963376045227,-1.0925291776657104,Linkin Park,,
2,48948,artist,-26.15942001342773,5.985562801361084,Queen,,
3,50096,artist,-9.305777549743652,-7.913740634918213,Arctic Monkeys,,
4,51034,artist,-12.688799858093262,-11.555313110351562,Queen,,
5,53412,artist,-27.87107086181641,-3.324682712554932,Daft Punk,,
6,55627,artist,-30.71105766296387,-4.192639350891113,Daft Punk,,
7,55994,artist,-9.839151382446287,-15.887716293334961,Daft Punk,,
8,57301,artist,-19.3164176940918,-6.6202239990234375,Linkin Park,,
9,59690,artist,-26.003990173339844,-0.8119394779205322,Daft Punk,,
10,61738,artist,-5.021265983581543,3.453721761703491,Linkin Park,,
11,62558,artist,6.699412822723389,-13.051401138305664,Linkin Park,,
12,77769,artist,-3.935457944869995,-7.4172935485839835,Linkin Park,,
13,83127,artist,-17.044561386108402,-4.107795238494873,Linkin Park,,
14,92906,artist,-4.757760047912598,-37.1956672668457,Daft Punk,,
